mesh_code,ward_ja,lat,lon,pop_total,hh_general,hh_single,hh_single_20s,hh_elderly_single,hh_with_under6,hh_in_housing,hh_owned,hh_private_rent,hh_public_rent,hh_detached,hh_apartment,hh_apt_15plus_bldg
5339562533,足立区,35.77395833333333,139.8140625,1069,523,234.0,53.0,62.0,33.0,522.0,263.0,220.0,23.0,244.0,275.0,0.0
5339562534,足立区,35.77395833333333,139.81718750000002,1049,552,281.0,62.0,61.0,32.0,551.0,220.0,224.0,83.0,156.0,387.0,0.0
5339562541,足立区,35.771875,139.8203125,1268,621,232.0,4.0,141.0,26.0,621.0,135.0,25.0,459.0,81.0,540.0,0.0
5339562542,足立区,35.771875,139.8234375,517,209,53.0,2.0,19.0,12.0,208.0,157.0,10.0,39.0,15.0,193.0,0.0
5339562543,足立区,35.77395833333333,139.8203125,1136,564,248.0,50.0,71.0,24.0,562.0,142.0,190.0,217.0,136.0,424.0,0.0
5339562544,足立区,35.77395833333333,139.8234375,687,340,135.0,17.0,43.0,17.0,339.0,99.0,55.0,169.0,43.0,294.0,0.0
5339562611,足立区,35.76770833333333,139.8265625,1531,880,522.0,137.0,73.0,35.0,875.0,342.0,503.0,0.0,181.0,692.0,0.0
5339562612,足立区,35.76770833333333,139.8296875,1775,953,511.0,88.0,100.0,57.0,953.0,380.0,439.0,112.0,145.0,805.0,0.0
5339562613,足立区,35.76979166666666,139.8265625,874,555,357.0,64.0,73.0,10.0,555.0,200.0,336.0,0.0,144.0,396.0,0.0
5339562614,足立区,35.76979166666666,139.8296875,1271,597,249.0,35.0,49.0,47.0,597.0,373.0,213.0,0.0,107.0,484.0,80.0
5339562621,足立区,35.76770833333333,139.8328125,1392,765,355.0,34.0,149.0,61.0,764.0,38.0,87.0,622.0,32.0,732.0,0.0
5339562622,足立区,35.76770833333333,139.8359375,1202,616,315.0,68.0,45.0,49.0,615.0,145.0,367.0,84.0,118.0,496.0,0.0
